dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
capgmyo_dba_s1,True,LMS+Rice+xchan_joint2,cross-channel,1.3504407923148665,2843516,2.3489594957260227,1.2901901549397006,True,OK,OK,0.0366,137.2,
capgmyo_dba_s1,True,LMS4+Rice+xchan_jointbp2,cross-channel,1.3502874107852096,2843839,0.6607321836675405,0.5209365390090575,True,OK,OK,0.0468,137.2,
capgmyo_dba_s1,True,LMS+Rice+xchan,cross-channel,1.34930194707082,2845916,4.319146499544146,1.694593223989149,True,OK,OK,0.0572,137.1,1.3
capgmyo_dba_s1,True,wavpack,,1.3471698907529417,2850420,2.4957111723862457,inf,True,ref,,,136.9,
capgmyo_dba_s1,True,LMS+Rice+acar,cross-channel,1.3322596615713518,2882321,4.323907802645384,1.682913065302681,True,OK,OK,0.0559,135.4,
capgmyo_dba_s1,True,LMS+Rice,temporal,1.3322587371366776,2882323,4.3918031682236585,1.6929522798701566,True,OK,OK,0.0523,135.4,
capgmyo_dba_s1,True,delta+Rice+xchan,cross-channel,1.29002608271486,2976684,4.644907974232127,1.7775463947146983,True,OK,OK,0.0127,131.1,1.2
capgmyo_dba_s1,True,delta+Rice,temporal,1.2748009368458968,3012235,5.018909400999233,1.7570997238821375,True,OK,OK,0.0079,129.6,
capgmyo_dba_s1,True,fixed0-3+Rice,temporal,1.2743178168546452,3013377,1.618785641820193,1.738752969453128,True,OK,OK,0.0193,129.5,
capgmyo_dba_s1,True,lzma,,1.17316817732437,3273188,5.304676110472747,25.83744612922429,True,ref,,,119.2,
capgmyo_dba_s1,True,mtscomp,,1.1395950520207334,3369618,28.038748051356308,157.23661876078015,True,ref,,,115.8,
capgmyo_dba_s1,True,zstd-19,,1.1177226865978356,3435557,9.835720213680359,610.197740885937,True,ref,,,113.6,
capgmyo_dba_s1,True,gzip-9,,1.114945996255059,3444113,35.65065169678074,224.57071352506375,True,ref,,,113.3,
capgmyo_dba_s1,True,flac,,0.9840040405665916,3902423,2.436963275529797,3.168334318691375,True,ref,,,100.0,
cemhsey_s1_d1t1,True,lzma,,2.0589247094128034,4662628,3.374166112621425,32.77276821978593,True,ref,,,175.8,
cemhsey_s1_d1t1,True,LMS4bcxs+Rice+xchan_bestpartner,temporal,1.971615716488232,4869103,2.1717242296870674,1.4766839772615579,True,OK,OK,0.1013,168.3,
cemhsey_s1_d1t1,True,LMS4bc_lite+Rice+xchan_bestpartner,temporal,1.9699941166946535,4873111,2.4001024045436323,1.3401132126989839,True,OK,OK,0.0983,168.2,
cemhsey_s1_d1t1,True,LMS4bcpool+Rice+xchan_bestpartner,temporal,1.9556830008977808,4908771,4.0261625779828085,1.8596797677781753,True,OK,OK,0.1282,166.9,
cemhsey_s1_d1t1,True,LMS4+Rice+xchan_bestpartner,cross-channel,1.955547153945561,4909112,5.23015211937415,2.130978346065201,True,OK,OK,0.0394,166.9,
