dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
capgmyo_dba_s1,True,LMS4+Rice+xchan_jointbp2,cross-channel,1.3502874107852096,2843839,0.39845598190793186,0.33548345298646776,True,OK,OK,0.0468,137.2,
capgmyo_dba_s1,True,LMS+Rice+xchan,cross-channel,1.34930194707082,2845916,2.5443601084701633,1.140793668140313,True,OK,OK,0.0572,137.1,1.3
capgmyo_dba_s1,True,wavpack,,1.3471698907529417,2850420,9.084627557018763,inf,True,ref,,,136.9,
capgmyo_dba_s1,True,LMS4v2+Rice+xchan_bestpartner,temporal,1.3468443332050792,2851109,1.8820670616479862,1.0602987693802395,True,OK,OK,0.0592,136.9,
capgmyo_dba_s1,True,LMS+Rice+acar,cross-channel,1.3322596615713518,2882321,2.617467497024567,1.159369160344907,True,OK,OK,0.0559,135.4,
capgmyo_dba_s1,True,LMS+Rice,temporal,1.3322587371366776,2882323,2.4410926534395707,1.1217530636290336,True,OK,OK,0.0523,135.4,
capgmyo_dba_s1,True,delta+Rice+xchan,cross-channel,1.29002608271486,2976684,2.8001680544191223,1.1731700988041838,True,OK,OK,0.0127,131.1,1.2
capgmyo_dba_s1,True,delta+Rice,temporal,1.2748009368458968,3012235,2.9286905404203365,1.1764732767507087,True,OK,OK,0.0079,129.6,
capgmyo_dba_s1,True,fixed0-3+Rice,temporal,1.2743178168546452,3013377,0.944372818903335,1.1970809793821444,True,OK,OK,0.0193,129.5,
capgmyo_dba_s1,True,lzma,,1.17316817732437,3273188,2.7201911635877503,17.97917365565123,True,ref,,,119.2,
capgmyo_dba_s1,True,mtscomp,,1.1395950520207334,3369618,21.89262320534487,135.2168095905973,True,ref,,,115.8,
capgmyo_dba_s1,True,zstd-19,,1.1177226865978356,3435557,3.603435328313736,494.93873586568594,True,ref,,,113.6,
capgmyo_dba_s1,True,gzip-9,,1.114945996255059,3444113,28.336919269608583,191.7262149638048,True,ref,,,113.3,
capgmyo_dba_s1,True,flac,,0.9840040405665916,3902423,10.65995788139722,13.067350321217253,True,ref,,,100.0,
cemhsey_s1_d1t1,True,lzma,,2.0589247094128034,4662628,1.6822300475055394,34.64990508309938,True,ref,,,175.8,
cemhsey_s1_d1t1,True,LMS4+Rice+xchan_bestpartner,cross-channel,1.955547153945561,4909112,3.289454162093451,1.4218398237729968,True,OK,OK,0.0394,166.9,
cemhsey_s1_d1t1,True,LMS4+Rice+acar_sel+bestpartner,cross-channel,1.955547153945561,4909112,3.1285401906979784,1.4028139153337926,True,OK,OK,0.043,166.9,
cemhsey_s1_d1t1,True,LMS+Rice+xchan,cross-channel,1.955106677544663,4910218,3.654263664889422,1.368607077472165,True,OK,OK,0.0572,166.9,13.1
cemhsey_s1_d1t1,True,LMS+Rice+xchan_joint2,cross-channel,1.954269682294785,4912321,1.8157025111350547,1.0128301044757793,True,OK,OK,0.0366,166.8,
cemhsey_s1_d1t1,True,LMS4+Rice+xchan_bestpartner_adaptive,cross-channel,1.9539478906521912,4913130,1.1348043423913206,0.7722218354954806,True,OK,OK,0.0387,166.8,
cemhsey_s1_d1t1,True,LMS4+Rice+xchan_lagbp,cross-channel,1.9533717944100604,4914579,0.21140431903436405,0.19413979311319882,True,OK,OK,0.0706,166.7,
cemhsey_s1_d1t1,True,LMS4+Rice+xchan_jointbp2,cross-channel,1.9522595268739709,4917379,0.5257895257572545,0.4152098764500369,True,OK,OK,0.0468,166.7,
cemhsey_s1_d1t1,True,LMS4v2+Rice+xchan_bestpartner,temporal,1.9520658041382575,4917867,2.6519402567849717,1.3228093163185768,True,OK,OK,0.0592,166.6,
cemhsey_s1_d1t1,True,LMS4+Rice+xchan_scalesel,cross-channel,1.9516237204412865,4918981,0.5951476056425361,0.48102115875968215,True,OK,OK,0.0494,166.6,
cemhsey_s1_d1t1,True,delta+Rice+xchan,cross-channel,1.88236696665583,5099962,4.036015320490074,1.455307549496316,True,OK,OK,0.0127,160.7,12.2
cemhsey_s1_d1t1,True,zstd-19,,1.853665468992811,5178928,1.8058854969756837,82.16439784793562,True,ref,,,158.2,
cemhsey_s1_d1t1,True,LMS+Rice+acar,cross-channel,1.7434274148512774,5506395,3.471162405329891,1.338774796883008,True,OK,OK,0.0559,148.8,
cemhsey_s1_d1t1,True,wavpack,,1.731258227985068,5545100,8.444835362128336,inf,True,ref,,,147.8,
cemhsey_s1_d1t1,True,LMS+Rice,temporal,1.729317186314472,5551324,3.116149211133377,1.3438133111658215,True,OK,OK,0.0523,147.6,
cemhsey_s1_d1t1,True,fixed0-3+Rice,temporal,1.7087779567643577,5618050,1.2488224951882732,1.4789710226603052,True,OK,OK,0.0193,145.9,
cemhsey_s1_d1t1,True,gzip-9,,1.6930359962379329,5670287,12.693308175200078,199.05383904646507,True,ref,,,144.5,
cemhsey_s1_d1t1,True,mtscomp,,1.6786169036022769,5718994,9.8780186321993,132.48939063559646,True,ref,,,143.3,
cemhsey_s1_d1t1,True,delta+Rice,temporal,1.6779772822850694,5721174,3.231842857512096,1.4530050791701237,True,OK,OK,0.0079,143.2,
cemhsey_s1_d1t1,True,flac,,1.1714421441198424,8195027,10.806507861393898,12.06814762297806,True,ref,,,100.0,
